"Name","EX","EW","Subtotal (EX+EW)","CR(PE)","CR(PEW)","Subtotal (EX+EW+ CR(PE)+CR(PEW))","CR","EN","VU","Subtotal (threatened spp.)","LR/cd","NT or LR/nt","LC or LR/lc","DD","Total"
"TRIMENIACEAE","0","0","0","0","0","0","0","1","0","1","0","0","3","0","4"
"TROCHODENDRACEAE","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"TROPAEOLACEAE","0","0","0","0","0","0","1","1","6","8","0","0","2","1","11"
"ULMACEAE","0","0","0","0","0","0","2","5","7","14","0","2","25","3","44"
"URTICACEAE","0","0","0","0","0","0","18","32","26","76","0","21","198","12","307"
"VAHLIACEAE","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"VERBENACEAE","1","0","1","1","0","2","6","9","19","34","0","5","56","4","100"
"VIBURNACEAE","0","0","0","1","0","1","3","13","11","27","0","4","50","2","83"
"VIOLACEAE","1","0","1","0","0","1","10","32","19","61","0","10","91","5","168"
"VITACEAE","0","0","0","1","0","1","1","9","3","13","0","4","26","3","46"
"VOCHYSIACEAE","0","0","0","0","0","0","5","15","14","34","0","7","98","28","167"
"WELLSTEDIACEAE","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1"
"WINTERACEAE","0","0","0","0","0","0","0","4","2","6","0","0","6","5","17"
"XIMENIACEAE","0","0","0","0","0","0","1","0","1","2","0","0","8","0","10"
"ZYGOPHYLLACEAE","0","0","0","0","0","0","4","3","2","9","0","1","17","2","29"
"CLEVEACEAE","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"EXORMOTHECACEAE","0","0","0","0","0","0","0","2","0","2","0","0","0","0","2"
"RICCIACEAE","0","0","0","0","0","0","1","0","2","3","0","1","0","0","4"
"RIELLACEAE","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4"
"SPHAEROCARPACEAE","0","0","0","0","0","0","1","1","0","2","0","0","0","0","2"
"ARAUCARIACEAE","0","0","0","0","0","0","4","9","11","24","0","9","4","0","37"
"CUPRESSACEAE","0","0","0","0","0","0","6","24","18","48","0","22","68","3","141"
"PINACEAE","0","0","0","0","0","0","10","25","24","59","0","32","135","0","226"
"PODOCARPACEAE","0","0","0","1","0","1","7","27","20","54","0","33","87","5","179"
"SCIADOPITYACEAE","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"TAXACEAE","0","0","0","0","0","0","2","9","9","20","0","3","9","0","32"
"ANEMIACEAE","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1"
"ASPLENIACEAE","0","0","0","0","0","0","11","9","8","28","0","9","15","4","56"
"ATHYRIACEAE","0","1","1","1","0","2","4","8","8","20","0","3","8","2","34"
"BLECHNACEAE","0","0","0","0","0","0","1","5","3","9","0","0","7","5","21"
"CIBOTIACEAE","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1"
"CULCITACEAE","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"CYATHEACEAE","0","0","0","0","0","0","0","10","9","19","0","6","91","25","141"
"CYSTOPTERIDACEAE","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1"
"DENNSTAEDTIACEAE","0","0","0","1","0","1","1","5","4","10","0","0","5","1","16"
"DICKSONIACEAE","0","0","0","0","0","0","0","0","3","3","0","0","10","1","14"
"DIDYMOCHLAENACEAE","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"DRYOPTERIDACEAE","1","0","1","3","0","4","25","20","23","68","0","8","30","24","131"
"EQUISETACEAE","0","0","0","0","0","0","0","0","0","0","0","0","8","0","8"
"GLEICHENIACEAE","0","0","0","0","0","0","0","0","0","0","0","0","4","0","4"
"HYMENOPHYLLACEAE","0","0","0","0","0","0","7","8","2","17","0","4","10","6","37"
"LINDSAEACEAE","0","0","0","0","0","0","1","0","1","2","0","1","1","0","4"
"LYGODIACEAE","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2"
"MARATTIACEAE","0","0","0","0","0","0","2","0","0","2","0","1","0","0","3"
"MARSILEACEAE","0","0","0","0","0","0","1","4","1","6","0","0","17","1","24"
"NEPHROLEPIDACEAE","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2"
"OLEANDRACEAE","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1"
"ONOCLEACEAE","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2"
"OPHIOGLOSSACEAE","0","0","0","0","0","0","1","0","0","1","0","0","3","0","4"
"OSMUNDACEAE","0","0","0","0","0","0","0","0","0","0","0","0","4","0","4"
"PLAGIOGYRIACEAE","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1"
"POLYPODIACEAE","0","0","0","2","0","2","5","14","13","32","0","3","22","9","66"
"PSILOTACEAE","0","0","0","0","0","0","0","0","0","0","0","0","2","0","2"
"PTERIDACEAE","1","0","1","0","0","1","6","11","5","22","0","3","15","2","43"
"SACCOLOMATACEAE","0","0","0","0","0","0","0","2","0","2","0","0","1","0","3"
"SALVINIACEAE","0","0","0","0","0","0","0","0","0","0","0","0","8","0","8"
"SCHIZAEACEAE","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"TECTARIACEAE","0","0","0","0","0","0","1","1","1","3","0","0","3","5","11"
"THELYPTERIDACEAE","0","0","0","1","0","1","4","6","16","26","0","2","19","8","55"
"WOODSIACEAE","0","0","0","0","0","0","0","0","1","1","0","2","0","0","3"
"POLYTRICHACEAE","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1"
"AMBUCHANANIACEAE","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1"
"SPHAGNACEAE","0","0","0","0","0","0","6","3","3","12","0","0","3","1","16"
