,,,Birds (),Reptiles (),Amphibians (),Fishes (),"Subtotal
(Vertebrates) ()",Insects (INVERTEBRATES),Molluscs (INVERTEBRATES),Crustaceans (INVERTEBRATES),Corals (INVERTEBRATES),Arachnids (INVERTEBRATES),"Velvet
worms (INVERTEBRATES)","Horseshoe
crabs (INVERTEBRATES)","Other
invertebrates (INVERTEBRATES)","Subtotal
(Invertebrates) (INVERTEBRATES)",Mosses (PLANTS4),"Ferns &
allies (PLANTS4)",Gymnosperms (PLANTS4),"Flowering
plants (PLANTS4)","Green
algae (PLANTS4)","Red
algae (PLANTS4)","Subtotal
(Plants) (PLANTS4)",Lichens (FUNGI & PROTISTS),Mushrooms (FUNGI & PROTISTS),"Brown
algae (FUNGI & PROTISTS)","Subtotal
(Fungi & protists) (FUNGI & PROTISTS)",
"2012
(version 2012.2)",Total assessed,"5,501","10,064","3,755","6,374","10,590","36,284","4,003","6,183","2,399",858,34,11,4,50,"13,542",102,311,"1,012","14,178",13,58,"15,674",2,1,15,18,"65,518"
,Total threatened,"1,139","1,313",807,"1,933","2,058","7,250",829,"1,857",596,236,20,9,0,23,"3,570",76,167,374,"8,764",0,9,"9,390",2,1,6,9,"20,219"
"2011
(version 2011.2)",Total assessed,"5,499","10,052","3,336","6,338","9,554","34,779","3,844","5,422","2,399",856,33,11,4,52,"12,621",101,310,"1,020","12,994",13,58,"14,496",2,1,15,18,"61,914"
,Total threatened,"1,138","1,253",772,"1,917","2,028","7,108",741,"1,673",596,235,19,9,0,24,"3,297",80,163,377,"8,527",0,9,"9,156",2,1,6,9,"19,570"
"2010
(version 2010.4)",Total assessed,"5,491","10,027","2,806","6,296","8,848","33,468","3,269","3,149","2,152",856,33,11,4,52,"9,526",101,243,926,"11,584",2,58,"12,914",2,1,15,18,"55,926"
,Total threatened,"1,131","1,240",594,"1,898","1,851","6,714",733,"1,288",596,235,19,9,0,24,"2,904",80,148,371,"8,116",0,9,"8,724",2,1,6,9,"18,351"
"2009
(version 2009.2)",Total assessed,"5,490","9,998","1,677","6,285","4,443","27,893","2,619","2,306","1,735",856,32,11,4,52,"7,615",95,211,909,"10,876",2,58,"12,151",2,1,15,18,"47,677"
,Total threatened,"1,142","1,223",469,"1,895","1,414","6,143",711,"1,036",606,235,18,9,0,24,"2,639",82,139,322,"7,948",0,9,"8,500",2,1,6,9,"17,291"
2008,Total assessed,"5,488","9,990","1,385","6,260","3,481","26,604","1,259","2,212","1,735",856,32,11,4,52,"6,161",95,211,910,"10,779",2,58,"12,055",2,1,15,18,"44,838"
,Total threatened,"1,141","1,222",423,"1,905","1,275","5,966",626,978,606,235,18,9,0,24,"2,496",82,139,323,"7,904",0,9,"8,457",2,1,6,9,"16,928"
"2024
(versi2on0 027024-2)",Total assessed,"4,863","9,956","1,385","5,915","3,119","25,238","1,255","2,212",553,13,18,11,4,50,"4,116",92,211,909,"10,771",2,58,"12,043",2,1,15,18,"41,415"
,Total threatened,"1,094","1,217",422,"1,808","1,201","5,742",623,978,460,5,10,9,0,23,"2,108",79,139,321,"7,899",0,9,"8,447",2,1,6,9,"16,306"
